,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
426,HD 205739 b,,,,1.21,1.37,431.0,363.0,3.365,279.8,,7.3,92.51,6176.0,4.29,False,nexsci
853,HD 20003 b,,,,0.31,0.0367,968.0,814.0,2.987,11.8482,,6.6,41.83,5494.0,4.41,False,nexsci
359,HD 164509 b,,,,1.28,0.44299999999999995,380.0,319.0,2.826,280.17,,6.6,53.11,5859.0,4.44,False,nexsci
543,HD 42012 b,,,,1.21,1.6,217.0,183.0,3.4330000000000003,857.5,,6.6,36.8,5405.0,4.45,False,nexsci
59,HIP 65407 b,,,,1.28,0.428,725.0,610.0,2.8110000000000004,28.125,,7.6,61.78,5460.0,4.47,False,nexsci
677,HIP 57274 d,,,,1.27,0.5267,218.0,184.0,2.908,431.7,,6.3,25.86,4640.0,4.71,False,nexsci
1040,GJ 414 A c,,,,0.75,0.16937,165.0,138.0,2.8739999999999997,749.83,,5.0,11.89,4120.0,4.65,False,nexsci
1002,HD 5278 c,,,,0.4,0.05789,789.0,664.0,2.951,40.87,,6.6,57.58,6203.0,4.5,False,nexsci
820,LSPM J2116+0234 b,,,,0.33,0.04185,442.0,371.0,2.9760000000000004,14.4399,,7.3,17.63,3475.0,4.95,False,nexsci
420,HD 202206 c,,,,1.08,17.9,217.0,183.0,4.58,1260.0,,6.5,45.97,5766.0,4.5,False,nexsci
448,HD 215152 e,,,,0.13,0.00905,616.0,518.0,3.097,25.1967,,5.8,21.6,4935.0,4.4,False,nexsci
600,HD 73526 c,,,,1.19,2.25,394.0,331.0,3.595,379.1,,7.3,97.24,5633.0,4.2,False,nexsci
638,HD 89307 b,,,,1.19,2.11,198.0,167.0,3.5669999999999997,2166.0,,5.6,32.01,5955.0,4.46,False,nexsci
793,PSR B1257+12 c,,,,0.17,0.01353,,,3.065,66.5419,,,600.0,,,False,nexsci
949,GJ 422 b,,,,0.3,0.03483,348.0,293.0,2.991,20.129,,7.0,12.66,3323.0,4.85,False,nexsci
132,6 Lyn b,,,,1.19,2.01,445.0,374.0,3.5460000000000003,934.3,,3.7,54.66,4938.0,3.19,False,nexsci
