,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
855,HD 51608 c,,,,0.35,0.045,478.0,402.0,2.969,95.9446,,6.3,35.06,5358.0,4.36,False,nexsci
3,OGLE-2015-BLG-1649L b,,,,1.18,2.54,,,3.655,,,,4230.0,,,False,nexsci
1090,HIP 86221 b,,,,1.25,0.71,,,3.052,2.224,,6.3,29.49,,,False,nexsci
761,LkCa 15 b,,,,,,80.0,67.0,,,,8.2,158.15,4194.0,3.65,False,nexsci
130,61 Vir c,,,,0.4,0.057,672.0,565.0,2.95,38.021,,3.0,8.5,5577.0,4.34,False,nexsci
443,HD 214823 b,,,,1.08,20.3,270.0,227.0,4.635,1854.4,,6.6,101.37,5933.0,4.05,False,nexsci
618,HD 79498 b,,,,1.22,1.34,196.0,165.0,3.3489999999999998,1807.0,,6.5,48.95,5748.0,4.37,False,nexsci
408,HD 190647 b,,,,1.19,1.985,255.0,215.0,3.5410000000000004,1176.45,,6.2,54.47,5656.0,4.16,False,nexsci
705,Kepler-419 c,,,,1.13,7.3,375.0,316.0,4.151,675.47,,11.9,1011.36,6430.0,4.1,False,nexsci
920,HD 102843 b,,,,1.17,0.35836999999999997,151.0,127.0,2.812,3090.942,,7.5,62.76,5436.0,4.46,False,nexsci
1041,GJ 1151 b,,,,0.12,0.00787,606.0,510.0,3.103,2.0180000000000002,,7.6,8.04,3114.0,5.06,False,nexsci
644,HD 93083 b,,,,1.2,0.37,382.0,322.0,2.804,143.58,,6.1,28.52,4995.0,4.26,False,nexsci
675,HIP 57274 c,0.0,0.084,1.6780000000000002,1.27,0.40902,520.0,437.0,2.798,32.03,5.88,6.3,25.86,4640.0,4.71,False,nexsci
637,HD 88133 b,,,,1.23,1.02,2095.0,1762.0,3.2230000000000003,3.4149,,6.2,73.61,5392.0,3.88,False,nexsci
418,HD 200964 b,,,,1.21,1.599,507.0,426.0,3.432,606.3,,4.3,72.59,4982.0,3.22,False,nexsci
1009,MOA-2013-BLG-220L b,,,,1.18,2.74,,,3.688,,,,6720.0,,,False,nexsci
36,14 And b,,,,1.15,4.8,1005.0,845.0,3.9539999999999997,185.84,,2.3,75.44,4813.0,2.63,False,nexsci
27,HD 141399 c,,,,1.22,1.33,456.0,384.0,3.345,201.99,,5.5,37.02,5600.0,4.28,False,nexsci
657,HIP 67851 c,,,,1.14,6.3,349.0,294.0,4.08,2131.8,,3.8,64.12,4890.0,3.15,False,nexsci
292,HD 132406 b,,,,1.14,5.38,273.0,229.0,4.011,974.0,,6.9,70.78,5783.0,4.2,False,nexsci
212,HD 111998 b,,,,1.15,4.51,336.0,282.0,3.927,825.9,,5.0,33.22,6557.0,4.19,False,nexsci
423,HD 204313 b,,,,1.17,3.46,199.0,167.0,3.7969999999999997,1920.1,,6.5,47.79,5783.0,4.37,False,nexsci
147,BD-08 2823 b,,,,0.32,0.04,950.0,799.0,2.9810000000000003,5.6,,7.3,41.33,4816.0,4.43,False,nexsci
331,HD 176986 c,,,,0.27,0.02888,725.0,609.0,3.005,16.8191,,6.2,27.78,4931.0,4.44,False,nexsci
608,HD 75784 c,,,,1.14,5.64,178.0,149.0,4.032,7900.0,,5.5,85.43,4867.0,3.46,False,nexsci
974,GJ 433 d,,,,0.19,0.01643,323.0,271.0,3.048,36.059,,5.6,9.06,3461.0,4.76,False,nexsci
348,HD 1605 c,,,,1.16,3.62,278.0,234.0,3.824,2149.0,,5.3,88.8,4915.0,3.4,False,nexsci
95,alf Tau b,,,,1.13,6.47,1292.0,1087.0,4.099,628.96,,-3.0,20.43,4055.0,1.2,False,nexsci
837,YZ Cet c,,,,0.09,0.0030800000000000003,500.0,420.0,2.984,3.0601,,6.4,3.71,3056.0,,False,nexsci
215,HD 10180 d,,,,0.31,0.036969999999999996,996.0,837.0,2.985,16.357,,5.9,38.96,5911.0,4.39,False,nexsci
107,OGLE-2012-BLG-0026L b,,,,0.69,0.145,,,2.88,,,,4019.0,,,False,nexsci
1039,HD 60292 b,,,,1.13,6.5,1058.0,890.0,4.101,495.4,,3.9,315.21,4348.0,1.9,False,nexsci
100,MOA-2016-BLG-227L b,,,,1.18,2.8,,,3.698,,,,6500.0,,,False,nexsci
1124,HD 99283 b,,,,1.23,0.97,903.0,759.0,3.201,310.4,,3.6,111.09,4886.0,2.57,False,nexsci
432,HD 208487 b,,,,1.27,0.52,526.0,443.0,2.903,130.08,,6.2,45.15,6067.0,4.33,False,nexsci
759,MOA-2009-BLG-319L b,,,,0.86,0.212,,,2.852,,,20.0,7050.0,,,False,nexsci
116,OGLE-2017-BLG-0373L b,,,,1.25,0.401,,,2.804,,,,5915.0,,,False,nexsci
561,HD 4732 c,,,,1.19,2.37,308.0,259.0,3.6180000000000003,2732.0,,3.7,54.78,4959.0,3.16,False,nexsci
599,HD 73526 b,,,,1.17,3.08,493.0,414.0,3.7460000000000004,188.3,,7.3,97.24,5601.0,4.12,False,nexsci
149,BD-10 3166 b,,,,1.26,0.59,1475.0,1240.0,2.964,3.4878,,8.1,84.41,5393.0,4.69,False,nexsci
339,HD 159243 b,,,,1.22,1.13,1120.0,942.0,3.275,12.62,,7.3,73.31,6123.0,4.55,False,nexsci
124,ups And c,,,,1.1,13.98,485.0,408.0,4.457,241.25799999999998,,2.9,13.41,6157.0,4.13,False,nexsci
460,HD 219415 b,,,,1.23,1.0,263.0,221.0,3.214,2093.3,,6.4,165.18,4820.0,3.51,False,nexsci
939,GJ 682 c,,,,0.26,0.02737,227.0,191.0,3.008,57.32,,5.6,5.01,3028.0,4.93,False,nexsci
819,HD 137388 b,,,,0.83,0.2,295.0,248.0,2.855,330.0,,6.8,40.48,5181.0,4.39,False,nexsci
601,HD 73534 b,,,,1.23,1.112,262.0,220.0,3.261,1750.0,,6.0,83.33,4917.0,3.6,False,nexsci
722,OGLE-2014-BLG-1722L c,,,,0.98,0.263,,,2.833,,,,6400.0,,,False,nexsci
523,HD 34445 f,,,,0.61,0.11900000000000001,316.0,266.0,2.895,676.8,,5.8,46.09,5836.0,4.21,False,nexsci
697,KMT-2017-BLG-0165L b,,,,0.57,0.11,,,2.9160000000000004,,,,4530.0,,,False,nexsci
615,HD 7924 c,,,,0.24,0.024730000000000002,763.0,642.0,3.016,15.299000000000001,,5.2,16.99,5075.0,4.59,False,nexsci
106,OGLE-2011-BLG-0173L b,,,,0.8,0.19,,,2.862,,,,6100.0,,,False,nexsci
435,HD 210702 b,,,,1.2,1.808,588.0,494.0,3.4930000000000003,354.1,,4.0,54.2,4951.0,3.28,False,nexsci
621,HD 82886 b,,,,1.19,2.33,518.0,436.0,3.61,705.0,,5.5,127.06,4953.0,3.4,False,nexsci
478,HD 231701 b,,,,1.22,1.13,575.0,483.0,3.275,141.63,,7.7,108.88,6101.0,4.31,False,nexsci
732,OGLE-2012-BLG-0724L b,,,,1.27,0.47,,,2.859,,,,6700.0,,,False,nexsci
230,HD 102956 b,,,,1.23,0.96,2146.0,1805.0,3.197,6.4947,,5.7,121.89,4985.0,3.38,False,nexsci
534,HD 38283 b,,,,1.25,0.4,415.0,349.0,2.802,363.2,,5.3,38.06,5981.0,4.23,False,nexsci
388,HD 191806 b,,,,1.12,8.52,244.0,205.0,4.226,1606.3,,6.6,65.67,6010.0,4.45,False,nexsci
698,Kepler-19 c,,,,0.33,0.04122,,,2.978,28.730999999999998,,10.3,218.56,5544.0,4.51,False,nexsci
396,HD 20794 c,,,,0.12,0.0076,658.0,554.0,3.109,40.114000000000004,,2.6,6.0,5401.0,4.22,False,nexsci
311,HD 145377 b,,,,1.14,6.02,527.0,443.0,4.06,103.95,,6.7,53.49,6014.0,4.47,False,nexsci
707,Kepler-432 c,,,,1.18,2.43,,,3.636,406.2,,10.1,848.02,4995.0,3.35,False,nexsci
774,NGC 2682 Sand 364 b,,,,1.13,6.69,2123.0,1785.0,4.113,121.71,,6.7,817.19,4284.0,2.2,False,nexsci
405,HD 190360 b,,,,1.21,1.54,171.0,143.0,3.4160000000000004,2915.0369,,4.1,16.01,5552.0,4.32,False,nexsci
393,HD 181433 b,,,,0.21,0.02,886.0,745.0,3.034,9.3743,,6.1,26.88,4918.0,4.45,False,nexsci
256,HD 11506 b,,,,1.15,4.83,235.0,198.0,3.957,1622.1,,6.2,51.26,6030.0,4.43,False,nexsci
295,HD 133131 B b,,,,1.18,2.5,134.0,112.0,3.648,5769.0,,6.9,51.3,5805.0,4.41,False,nexsci
361,HD 164922 b,,,,1.19,0.36496999999999996,205.0,172.0,2.805,1207.0,,5.1,22.0,5390.0,4.46,False,nexsci
61,HIP 67537 b,,,,1.11,11.1,380.0,320.0,4.349,2556.5,,4.2,116.05,4985.0,2.85,False,nexsci
1032,WASP-107 c,,,,1.18,0.36,,,2.807,1088.0,,8.6,64.74,4425.0,4.63,False,nexsci
724,Kepler-94 c,,,,1.11,9.836,,,4.296,820.3,,10.6,191.9,4781.0,4.59,False,nexsci
1126,HD 10975 b,,,,1.28,0.45,951.0,800.0,2.833,283.8,,3.9,116.51,4840.0,2.48,False,nexsci
574,HD 55696 b,,,,1.16,3.87,238.0,200.0,3.853,1827.0,,6.6,77.97,6012.0,4.03,False,nexsci
622,HD 82943 c,,,,1.2,1.959,429.0,361.0,3.528,220.078,,5.1,27.59,5935.0,4.33,False,nexsci
891,Kepler-411 e,,,,0.29,0.03398,582.0,489.0,2.992,31.5097,,10.1,153.68,4833.0,4.6,False,nexsci
44,HD 20794 d,,,,0.18,0.015,502.0,422.0,3.05,90.309,,2.6,6.0,5401.0,4.22,False,nexsci
919,HD 103949 b,,,,0.3,0.03524,359.0,302.0,2.99,120.87799999999999,,6.3,26.5,4792.0,4.59,False,nexsci
336,HD 155358 c,,,,1.24,0.82,394.0,331.0,3.1210000000000004,391.9,,5.8,43.62,5900.0,4.16,False,nexsci
546,HD 4208 b,,,,1.24,0.81,234.0,197.0,3.116,832.97,,6.2,34.19,5717.0,4.5,False,nexsci
278,HD 126614 b,,,,1.27,0.41,238.0,200.0,2.799,1244.0,,7.1,73.1,5568.0,4.3,False,nexsci
173,GJ 273 c,,,,0.09,0.00371,547.0,460.0,3.017,4.7234,,4.9,5.92,3382.0,4.91,False,nexsci
785,ome Ser b,,,,1.2,1.7,915.0,769.0,3.466,277.02,,2.9,76.76,4770.0,2.32,False,nexsci
718,ups And b,,,,1.25,0.6876,1812.0,1524.0,3.0380000000000003,4.617,,2.9,13.41,6157.0,4.13,False,nexsci
30,HD 160691 e,,,,1.27,0.5219,405.0,341.0,2.904,310.55,,3.7,15.6,5772.0,4.17,False,nexsci
