,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
741,OGLE-2006-BLG-109L b,,,,1.25,0.727,,82.0,3.062,1788.5,,,1510.0,,,False,nexsci
299,HD 136418 b,,,,1.19,2.14,490.0,412.0,3.574,464.3,,,105.17,4989.0,3.45,False,nexsci
690,kap And b,,,,1.1,13.616,128.0,108.0,4.445,,,4.6,50.02,10900.0,3.78,False,nexsci
280,HD 12661 c,,,,1.2,1.8119999999999998,207.0,174.0,3.4939999999999998,1708.0,,5.9,37.85,5748.0,4.32,False,nexsci
978,DMPP-3 A b,,,,0.13,0.00812,1092.0,919.0,3.103,6.6732,,7.1,45.23,5138.0,4.3,False,nexsci
509,HD 32963 b,,,,1.25,0.7,187.0,158.0,3.045,2372.0,,6.0,38.08,5727.0,4.41,False,nexsci
964,HD 189567 b,,,,0.25,0.026739999999999996,1005.0,845.0,3.012,14.288,,4.5,17.91,5726.0,4.41,False,nexsci
810,TYC 1422-614-1 c,,,,1.11,10.0,616.0,518.0,4.303999999999999,559.3,,7.7,672.41,4806.0,2.85,False,nexsci
288,HD 131496 b,,,,1.2,1.8,413.0,347.0,3.491,896.0,,5.4,131.85,4846.0,3.18,False,nexsci
210,HD 100655 b,,,,1.21,1.61,1079.0,907.0,3.435,157.57,,4.1,137.18,4891.0,2.79,False,nexsci
112,OGLE-2014-BLG-0676L b,,,,1.17,3.09,,,3.748,,,,2220.0,,,False,nexsci
610,HD 76700 b,,,,0.86,0.21,1694.0,1425.0,2.8510000000000004,3.971,,6.5,60.88,5644.0,4.16,False,nexsci
722,OGLE-2014-BLG-1722L c,,,,0.98,0.263,,,2.833,,,,6400.0,,,False,nexsci
895,KMT-2018-BLG-1976L b,,,,1.19,2.22,,,3.589,,,,5840.0,,,False,nexsci
845,HD 13167 b,,,,1.17,3.31,248.0,209.0,3.778,2613.0,,6.7,148.93,5671.0,3.72,False,nexsci
710,Kepler-48 e,,,,1.19,2.0669999999999997,,,3.5580000000000003,982.0,,11.2,306.74,5194.0,4.49,False,nexsci
77,GJ 273 b,,,,0.14,0.00909,346.0,291.0,3.092,18.6498,,4.9,5.92,3382.0,4.91,False,nexsci
723,OGLE-2015-BLG-0954L b,,,,1.17,3.4,,,3.7889999999999997,,,17.4,1200.0,,,False,nexsci
1013,HIP 107772 b,,,,0.33,0.04059,333.0,280.0,2.9789999999999996,55.199,,7.1,23.64,4006.0,4.73,False,nexsci
921,HIP 35173 b,,,,0.32,0.03996,527.0,443.0,2.98,41.516000000000005,,6.7,33.16,4881.0,4.52,False,nexsci
966,HD 220197 b,,,,0.83,0.2,195.0,164.0,2.855,1728.0,,7.3,64.41,5683.0,4.42,False,nexsci
448,HD 215152 e,,,,0.13,0.00905,616.0,518.0,3.097,25.1967,,5.8,21.6,4935.0,4.4,False,nexsci
786,omi CrB b,,,,1.21,1.5,969.0,815.0,3.405,187.83,,2.9,84.79,4749.0,2.65,False,nexsci
915,HD 211970 b,,,,0.33,0.0409,472.0,397.0,2.977,25.201,,5.7,13.13,4127.0,4.69,False,nexsci
111,OGLE-2013-BLG-0341L B b,,,,0.1,0.005220000000000001,,,3.0780000000000003,,,,911.0,,,False,nexsci
908,HD 202696 c,,,,,1.864,479.0,403.0,,946.6,,5.9,188.55,5040.0,3.11,False,nexsci
430,HD 207832 b,,,,1.26,0.56,405.0,340.0,2.9419999999999997,160.07,,7.2,58.93,5726.0,4.48,False,nexsci
323,HD 148427 b,,,,1.22,1.3,555.0,467.0,3.335,331.5,,4.7,71.35,5025.0,3.48,False,nexsci
590,HD 69830 b,,,,0.28,0.0321,1040.0,874.0,2.997,8.667,,4.2,12.56,5385.0,4.49,False,nexsci
