,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
1026,GJ 3473 c,,,,0.23,0.02331,389.0,327.0,3.02,15.509,,8.8,27.36,3347.0,4.81,False,nexsci
950,GJ 180 c,,,,0.21,0.02014,345.0,290.0,3.033,24.329,,6.6,11.94,3371.0,4.81,False,nexsci
434,HD 20868 b,,,,1.22,1.25,246.0,207.0,3.318,380.85,,7.5,47.72,4802.0,4.26,False,nexsci
860,HD 180053 b,,,,1.19,2.194,646.0,543.0,3.5839999999999996,213.72,,5.8,137.04,5131.0,3.54,False,nexsci
928,OGLE-2015-BLG-1670L b,,,,0.39,0.0563,,,2.9539999999999997,,,20.3,6700.0,,,False,nexsci
1070,HD 25723 b,,,,1.18,2.5,831.0,698.0,3.648,457.01,,3.0,114.82,4766.0,2.5,False,nexsci
1104,HD 96700 c,,,,0.15,0.011009999999999999,961.0,808.0,3.0780000000000003,19.88,,5.0,25.41,5845.0,4.39,False,nexsci
160,eps CrB b,,,,1.13,6.7,1015.0,854.0,4.114,417.9,,1.3,69.87,4406.0,1.94,False,nexsci
671,HIP 5158 b,,,,1.21,1.42,261.0,220.0,3.3810000000000002,345.72,,7.7,51.6,4962.0,4.37,False,nexsci
893,KMT-2018-BLG-1292L b,,,,1.15,4.42,,,3.918,,,,3460.0,,,False,nexsci
775,NGC 4349 127 b,,,,1.14,5.9,,,4.051,677.8,,7.1,2200.0,4445.0,1.64,False,nexsci
217,HD 10180 e,,,,0.48,0.079,687.0,578.0,2.928,49.748000000000005,,5.9,38.96,5911.0,4.39,False,nexsci
137,8 UMi b,,,,1.22,1.31,1274.0,1072.0,3.339,93.4,,4.5,162.55,4847.0,2.57,False,nexsci
1028,K2-111 c,,,,0.3,0.03555,1084.0,912.0,2.988,15.6785,,9.4,200.39,5775.0,4.25,False,nexsci
809,TYC 1422-614-1 b,,,,1.18,2.5,868.0,730.0,3.648,198.4,,7.7,672.41,4806.0,2.85,False,nexsci
1050,HD 168009 b,,,,0.27,0.03,1056.0,888.0,3.002,15.1479,,4.8,23.3,5778.0,4.27,False,nexsci
639,HD 90156 b,,,,0.4,0.057,616.0,518.0,2.957,49.77,,5.2,21.95,5599.0,4.48,False,nexsci
412,HD 196050 b,,,,1.17,3.18,254.0,213.0,3.76,1378.0,,6.0,50.67,5879.0,4.25,False,nexsci
897,HD 95089 c,,,,1.17,3.45,348.0,293.0,3.7960000000000003,1785.0,,5.6,136.96,4918.0,3.24,False,nexsci
655,HD 98219 b,,,,1.2,1.964,540.0,454.0,3.529,433.8,,5.8,113.7,4925.0,3.36,False,nexsci
969,WASP-18 c,,,,0.77,0.17368,2176.0,1830.0,2.867,2.1558,,8.1,123.48,6400.0,4.37,False,nexsci
94,91 Aqr b,,,,1.17,3.2,1060.0,892.0,3.763,181.4,,1.6,44.03,4665.0,2.52,False,nexsci
939,GJ 682 c,,,,0.26,0.02737,227.0,191.0,3.008,57.32,,5.6,5.01,3028.0,4.93,False,nexsci
292,HD 132406 b,,,,1.14,5.38,273.0,229.0,4.011,974.0,,6.9,70.78,5783.0,4.2,False,nexsci
158,GJ 581 c,,,,0.2,0.0173,417.0,350.0,3.043,12.914000000000001,,5.8,6.3,3396.0,4.89,False,nexsci
239,HD 10697 b,,,,1.13,6.382999999999999,294.0,247.0,4.093,1075.69,,4.6,33.12,5600.0,3.96,False,nexsci
213,HD 100777 b,,,,1.23,1.03,319.0,268.0,3.227,383.7,,6.7,49.53,5533.0,4.32,False,nexsci
873,HD 20003 c,,,,0.35,0.0454,682.0,573.0,2.971,33.9239,,6.6,41.83,5494.0,4.41,False,nexsci
233,HD 10442 b,,,,1.21,1.4869999999999999,279.0,234.0,3.4010000000000002,1032.3,,5.6,135.37,4912.0,3.19,False,nexsci
44,HD 20794 d,,,,0.18,0.015,502.0,422.0,3.05,90.309,,2.6,6.0,5401.0,4.22,False,nexsci
512,HD 33283 b,,,,1.12,0.32899999999999996,1230.0,1034.0,2.813,18.1991,,6.6,89.86,5935.0,4.12,False,nexsci
977,DMPP-2 b,,,,1.28,0.43700000000000006,1930.0,1623.0,2.82,5.2072,,7.4,137.94,6500.0,4.1,False,nexsci
1117,KMT-2016-BLG-2605L b,,,,1.25,0.7709999999999999,,,3.0869999999999997,,,,6421.0,,,False,nexsci
605,HD 7449 b,,,,1.27,0.508,221.0,185.0,2.892,1255.5,,6.1,38.66,6024.0,4.51,False,nexsci
733,OGLE-2016-BLG-1195L b,,,,0.1,0.0045,,,3.056,,,,3910.0,,,False,nexsci
420,HD 202206 c,,,,1.08,17.9,217.0,183.0,4.58,1260.0,,6.5,45.97,5766.0,4.5,False,nexsci
313,HD 145934 b,,,,1.19,2.28,299.0,252.0,3.6010000000000004,2730.0,,6.1,227.88,4824.0,3.23,False,nexsci
185,GJ 667 C c,,,,0.16,0.012,,,3.076,28.14,,6.0,7.24,3350.0,4.69,False,nexsci
296,HD 134987 b,,,,1.21,1.61,404.0,339.0,3.435,258.18,,4.9,26.18,5736.0,4.31,False,nexsci
101,MXB 1658-298 b,,,,1.07,23.7,,,4.71,760.0,,,,,,False,nexsci
567,HD 50499 b,,,,1.2,1.636,208.0,175.0,3.45,2447.1,,5.8,46.28,6102.0,4.25,False,nexsci
304,HD 142022 A b,,,,1.15,4.44,185.0,156.0,3.92,1928.0,,6.0,34.28,5421.0,4.35,False,nexsci
1123,OGLE-2018-BLG-0383L b,,,,0.21,0.02014,,,3.033,,,,7700.0,,,False,nexsci
41,HD 192310 b,,,,0.38,0.0532,486.0,408.0,2.958,74.72,,3.5,8.8,5166.0,4.51,False,nexsci
385,HD 178911 B b,,,,1.12,8.03,571.0,480.0,4.2,71.484,,6.4,40.97,5588.0,4.46,False,nexsci
818,V830 Tau b,,,,1.25,0.7,1444.0,1214.0,3.045,4.927,,8.4,130.11,4250.0,,False,nexsci
162,eps Eri b,,,,1.24,0.78,134.0,113.0,3.0989999999999998,2690.0,,1.8,3.2,5020.0,4.59,False,nexsci
328,HD 153950 b,,,,1.17,2.95,351.0,295.0,3.728,499.4,,6.0,48.45,6124.0,4.32,False,nexsci
374,HD 170469 b,,,,1.25,0.66,249.0,210.0,3.02,1145.0,,6.7,60.18,5842.0,4.3,False,nexsci
514,HD 35759 b,,,,1.16,3.76,739.0,622.0,3.84,82.46700000000001,,6.3,71.24,6060.0,4.24,False,nexsci
444,HD 215152 b,,,,0.11,0.00572,1007.0,847.0,3.1010000000000004,5.76,,5.8,21.6,4935.0,4.4,False,nexsci
705,Kepler-419 c,,,,1.13,7.3,375.0,316.0,4.151,675.47,,11.9,1011.36,6430.0,4.1,False,nexsci
386,HD 179079 b,,,,0.49,0.081,1186.0,998.0,2.926,14.479000000000001,,6.3,69.71,5646.0,4.16,False,nexsci
837,YZ Cet c,,,,0.09,0.0030800000000000003,500.0,420.0,2.984,3.0601,,6.4,3.71,3056.0,,False,nexsci
596,HD 73267 b,,,,1.17,3.097,199.0,168.0,3.7489999999999997,1245.36,,7.1,50.41,5387.0,4.45,False,nexsci
577,HD 63454 b,,,,1.1,0.25,1211.0,1018.0,2.7110000000000003,2.818,,7.0,37.69,4812.0,4.28,False,nexsci
1105,17 Sco b,,,,1.15,4.32,1008.0,848.0,3.908,578.38,,2.1,124.95,4157.0,1.7,False,nexsci
877,KMT-2016-BLG-1107L b,,,,1.17,3.283,,,3.7739999999999996,,,,6651.0,,,False,nexsci
424,HD 204313 c,,,,0.39,0.0553,769.0,646.0,2.955,34.905,,6.5,47.79,5776.0,4.38,False,nexsci
221,HD 10180 h,,,,0.84,0.203,194.0,163.0,2.855,2205.0,,5.9,38.96,5911.0,4.39,False,nexsci
780,OGLE-2006-BLG-109L c,,,,0.99,0.27,,59.0,2.8310000000000004,4927.5,,,1510.0,,,False,nexsci
166,gam Lib c,,,,1.15,4.58,625.0,526.0,3.9339999999999997,964.6,,1.5,47.4,4822.0,2.47,False,nexsci
680,HR 8799 b,,,,1.2,7.0,61.0,51.0,4.081,170000.0,,5.2,41.24,7205.0,4.3,False,nexsci
211,HD 103774 b,,,,1.19,0.36700000000000005,1768.0,1487.0,2.8080000000000003,5.8881,,6.0,56.41,6489.0,4.26,False,nexsci
188,GJ 676 A c,,,,1.13,6.8,72.0,61.0,4.121,7337.0,,5.8,16.03,4006.0,4.61,False,nexsci
144,BD+48 738 b,,,,1.24,0.91,840.0,706.0,3.1660000000000004,392.6,,5.9,871.49,4414.0,2.24,False,nexsci
417,HD 203030 b,,,,1.29,11.0,14.0,11.0,4.2139999999999995,,,6.7,39.25,5603.0,4.64,False,nexsci
155,CFBDSIR J145829+101343 b,,,,1.11,10.5,,370.0,4.325,10037.5,,,23.1,581.0,4.72,False,nexsci
634,HD 87646 b,,,,1.1,12.4,1204.0,1013.0,4.405,13.481,,6.5,73.58,5770.0,4.1,False,nexsci
209,HD 103720 b,,,,1.26,0.62,1101.0,926.0,2.986,4.5557,,7.3,45.54,5017.0,4.43,False,nexsci
245,HD 109246 b,,,,1.24,0.86,603.0,507.0,3.142,68.27,,7.2,67.83,5844.0,4.46,False,nexsci
